sentence_id,at,content,sentiment,category
review_31_1,2025-10-30 12:57:57,"buat para cs cs yang ada di gojek, tolong otak dipake logika dipake suruh nunggu 2 jam gile aja order makanan gak ada dapet driver suruh nunggu gitu lama sampa 2 jam orang udah pada kelaparan minimal kasih solusi buka chat sama bot.!",negative,app
review_31_2,2025-10-30 12:57:57,minimal bisa dicancel biar bisa cari opsi lain bukan maksa nungguin driver sampai ber jam jam,negative,app
review_32_1,2025-10-30 12:45:24,Sering dapat driver yang lokasinya jauh sekali dari titik jemput.,negative,service
review_33_1,2025-10-30 12:40:39,sangat membantu,positive,none
review_34_1,2025-10-30 12:40:24,ojol sekarang lelet banget ada orderan lama banget jalannya udah gitu banyak alesan mulu,positive,service
review_35_1,2025-10-30 12:37:59,"saat hujan sampai hujan reda saya susah dapet driver bahkan sampai order grab car ke esokan nya saat saya naik gojek saya tanya driver nya klo hujan susah dapet driver, kata driver nya klo hujan atau habis hujan banyak driver off ka soalnya kalaupun on bakal disuspend karna gk boleh melewati orderan",negative,app dan service
review_35_3,2025-10-30 12:37:59,"padahal orderan nya kalaupun diambil jemput nya jauh ngeblast, jadi banyak driver males on customer pun banyak yg pesan lain seperti grab maxim dll, harusnya gk ada suspen ""biar sama"""" tdk dirugikan.""",negative,app dan service
review_36_1,2025-10-30 12:35:24,"Lama amat buset, mesen makanan sejam lebih kaga nyampe""",negative,service
review_37_1,2025-10-30 12:29:11,susah banget dpt driver slalu pesanan jadi batal,negative,service
review_38_1,2025-10-30 12:21:42,mantap dan lancar terus ya,positive,none
review_40_1,2025-10-30 12:16:14,"Cari driver buat nganterin makanan doang lama banget, ndak pecus",negative,service
review_41_1,2025-10-30 12:16:04,"sudah tunggu hampir 2 jam, dicancel oleh sistem, gofood tidak dapat driver, kl tidak ada driver,",negative,service
review_41_2,2025-10-30 12:16:04,"lebih baik cancel dr awal, tunggu sampai kelaparan, dicancel, emang apk sampah",negative,app
review_42_1,2025-10-30 12:11:51,driver nya selalu menolak padahal keadaan urgent.khusus nya area Bali.tidak rekomendasi,negative,service
review_43_1,2025-10-30 12:08:56,mntep,positive,none
review_44_1,2025-10-30 12:03:49,gajelas kocak,negative,none
review_45_1,2025-10-30 11:59:03,Praktis,positive,none
review_46_1,2025-10-30 11:49:55,Menghubungi CS susah dan solusi yang diberikan tidak relevan dengan masalah yang dialami.,negative,app
review_47_1,2025-10-30 11:36:04,"aplikasi nya kalau kondisi cuaca hujan susah nyari drivernya kadang dapetnya jauh terus , sampe gak hujan tapi mendung masih susah nyari nya",negative,app
review_48_1,2025-10-30 11:35:24,sangat terbantu,positive,none
review_49_1,2025-10-30 11:32:55,"saya tidak sengaja order gofood, saya udh lapor ke cs tapi tidak ada solusi. saya chat resto pun tidak bisa, trs buat apa ada fitur chat resto!!",negative,app
review_50_1,2025-10-30 11:03:17,bagus,positive,none
review_51_1,2025-10-30 10:53:07,oke,positive,none
review_52_1,2025-10-30 10:39:44,pengalaman pembelian yang buruk,negative,service
review_53_1,2025-10-30 10:39:10,Gabisa ganti metode pembayaran,negative,app
review_54_1,2025-10-30 10:36:55,"susah dapet gojek pas ujan, bisa 5 jam!!!!!",negative,service
review_55_1,2025-10-30 10:33:11,mantap,positive,none
review_56_1,2025-10-30 10:22:47,sangat mudah sekali,positive,none
review_57_1,2025-10-30 10:15:11,rekomendasi mantap,positive,none
review_58_1,2025-10-30 10:07:04,"hey gojek. sebenernya q suka lho pake gojek. cuma hr ini kecewa berat. posisi hujan, butuh gojek untk jmpt anak sekolah, gk ada yg nyantol. pesen goride gk ada yg nyantol ya wjrlah hujan, gpp.terus pesenlah gocar, ada,tp dicancel tngh jln.pakai prioritas gk ada yg nyantol.masyaallah susahnyakalo hujan..nantikalo sdh reda rasa kecewanya, pasti saya balik lagi.mksh sih untuk gojek",negative,app dan service
review_59_1,2025-10-30 10:07:01,"gojek Memang 👍,terimakasih sudah banyak antar saya",positive,service
review_60_1,2025-10-30 10:05:45,"ujung-ujungnya tergantung orang yang melayani, ada beberapa yang kurang bagus.tapi sejauh ini masih lumayan",positive,service
review_61_1,2025-10-30 09:49:55,kalo lg ujan nyari driver buat gofood tuh susah banget ampe berjam jam padahal udah pake yang ekspress,negative,app
review_62_1,2025-10-30 09:49:07,mantaaap,positive,none
review_63_1,2025-10-30 09:36:09,Keren gojek,positive,service
review_64_1,2025-10-30 09:35:30,lamaaaa sayaaa nakkkkk pulaanggggggggg,negative,none
review_65_1,2025-10-30 09:29:32,mantap nih,positive,none
review_66_1,2025-10-30 09:13:40,"Sangat baik, trims",positive,none
review_67_1,2025-10-30 09:12:53,"Tolong ya Pihak Gojeg Di perbaiki Sistem nya mkin ke sini makin ga jelas Udh lma dapet nya giliran dapet jauh dinkasih nya sya udh nunggu 1 stngah jm kdng"" ke siangn berngkat kerja bnyak pilihan juga percuma Lambat trus",negative,app dan service
review_68_1,2025-10-30 09:00:26,Gojek semakin mantap,positive,service
review_69_1,2025-10-30 08:58:49,dgn adanya gojek sangat membantu bgt,positive,service
review_70_1,2025-10-30 08:52:25,"aplikasi ok,,",negative,app
review_70_2,2025-10-30 08:52:25,"tp cara kerja gopay pinjam yg bermasalah saya di tolak terus...padahal saya udh 3 tahun pakai aplikasi gopay,,,tp tetap juga di tolak.padahal bkan bnyak pinjam,",negative,app
review_71_1,2025-10-30 08:48:54,LAMA BET KALO NYARIIN DRIVER,negative,service
review_72_1,2025-10-30 08:13:54,sangat membantu,positive,none
review_73_1,2025-10-30 07:35:23,oke,positive,none
review_74_1,2025-10-30 07:31:24,pelayanan cepat,positive,service
review_75_1,2025-10-30 07:29:16,"heh buat goto kalo abis update an di cek dlu napa aplikasinya,masa habis di update , ngelagnya gak ketolongan mending aplikasi sebelah aja lebih pasti",negative,app
review_76_1,2025-10-30 07:29:14,good,positive,none
review_77_1,2025-10-30 07:26:20,sangat bagus untuk pergi²,positive,service
review_78_1,2025-10-30 06:54:31,"tolong dong Yang Gocar di perbaiki, sy pesen gocar 3kali ,semua TDK bergerak diam di tempat di lihat di maps, pdhal jln keadaan sepi TDK macet!!seolah olah TDK ada yg mau ambil orderan , sy tunggu 5 menit, Msih TDK gerak jg, sy cancel dpat lgi sama jg gtu lgi...., pas dpet jln, bnyak alasan ,inti y seolah olah , pas dpet jln, bnyak alasan ,inti y seolah olah Biar sy yg cancel..Walaupun sy pesen jarak ny g terlalu jauh Tpi hrs ny profesional donk supir2 ny, jadi sy pindah ke Aplikasi Lain dan mau tanpa basa basi.",negative,app dan service
review_79_1,2025-10-30 06:49:19,membantu banget dan murah murah lagi tapi kalau makanan agak lebih mahal dibanding beli langsung a9 ',neutral,service
review_81_1,2025-10-30 06:26:49,"Pembayaran yang terlalu mahal driver sering minta uang lebih tidak pernah tepat waktu driver aneh sering muter"" ""supaya minta uang lebih sama macim juga begitu klw buru"""" gak usah pakai noh aplikasi datang gak pernah cepat""",negative,app dan service
review_82_1,2025-10-30 06:11:42,"gojek makin mahal aja, ga ada promo nya. cuma iklan nya aja jajan terus",negative,service
review_82_3,2025-10-30 06:11:42,"tapi promo nya jauh banget dari harga asli, udah apa² mahal harga pada naik semua Tambah lagi ga ada promo nya, ada promo juga itu dikit banget potongan nya paling cuma 15k hadehh ya percuma.",negative,service
review_82_4,2025-10-30 06:11:42,"padahal rata² pembeli di Gofood itu kaum menengah kebawah tapi harga nya harga sultan, buat orang kaya² mah ga masalah harga makanan segitu,warteg aja harga sama dengan restoran bintang 5,paling beda tipis harga nya.",negative,service
review_82_6,2025-10-30 06:11:42,parah!,negative,none
review_83_1,2025-10-30 06:10:26,pakai aplikasi gocar lebih enak & mantap,positive,app
review_84_1,2025-10-30 05:41:13,sangat membantu masyarakat.,positive,none
review_85_1,2025-10-30 05:37:56,mohon gojek foto profil di aplikasi go-jek seharusnya fotonya pake atribut,positive,app
review_85_2,2025-10-30 05:37:56,biar enek dilihat gak kayak gini Lo ini kayanya hrus diperbarui pada foto profil driver gojek kerja suruh pakai atribut foto profil driver gak pake atribut tolong foto profil driver gojek di profil pake atribut kan enak 🙏👍,negative,app
review_86_1,2025-10-30 05:26:25,"Sangat jelek sistem pencarian drivernya , dan kebanyakan drivernya manja2...",negative,app
review_86_2,2025-10-30 05:26:25,"order goride jmput anak sekolah pas dapat driver yang manja orderan saya di tahan hampir satu jam, sampai akhirnya di cancel Ama drivernya",negative,service
review_87_1,2025-10-30 05:26:11,sangat membantu dalam keseharian trimakasih,positive,service
review_88_1,2025-10-30 05:10:55,ganti pin gabisa² uangnya sayang banget gabisa kepake buat bayar dicoba berkali² udah hampir sebulan juga ga bisaaa aneh banget heran,negative,app
review_89_1,2025-10-30 05:08:00,terbaik,positive,none
review_90_1,2025-10-30 05:06:03,akun gopay ga bisa login,negative,app
review_90_2,2025-10-30 05:06:03,padahal baru di isi saldo gmana sih tiap login harus nunggu 60 menit,negative,app
review_91_1,2025-10-30 05:00:32,trimakasih,positive,none
review_92_1,2025-10-30 04:59:28,APK kian hari tidak ada perubahan dengan penjemputan driver bisa mencapai radius 4km...,negative,app
review_92_2,2025-10-30 04:59:28,jika jalan macet driver harus buru2 tiba di resto jika tidak akan ada pembatalan by sistem..jika ada sesuatu hal yg tidak di inginkan terjadi Pd driver yg ingin cepat sampai titik penjemputan dengan radius 4km siapa yg mau di salahkan..,negative,app
review_93_1,2025-10-30 04:57:53,kapan mau di jual ke Grab?,neutral,none
review_93_2,2025-10-30 04:57:53,salam .50,neutral,none
review_94_1,2025-10-30 04:50:52,top,neutral,none
review_95_1,2025-10-30 04:42:19,sangat berguna,positive,none
review_96_1,2025-10-30 04:36:57,"karena bagus pelayanan.kk, soal nya enak² semua barang-barang nya",neutral,service
review_97_1,2025-10-30 03:57:32,"tolong lebih ditingkatkan lagi sistem gocar nya, setiap pesen gocar lama banget pergerakannya, nunggu sampe puluhan menit.Padahal jarak penjemputannya deket",negative,app
review_98_1,2025-10-30 03:51:04,good job,positive,none
review_99_1,2025-10-30 03:46:17,"baik,mantap,good",positive,none
review_100_1,2025-10-30 03:41:02,"mau upgrade ke plus aja susahnya minta ampun, tolong dong jgn di persulit org mau tf gopay ke rek kaya gini.",negative,app
review_101_1,2025-10-30 03:21:47,kebanyakan driver gocar nya...,negative,service
review_101_2,2025-10-30 03:21:47,gak mau ambil orderan males,negative,service
review_102_1,2025-10-30 03:18:05,baik untuk di gunakan,positive,none
review_103_1,2025-10-30 03:07:57,ok,positive,none
review_104_1,2025-10-30 03:07:44,mantap,positive,none
review_105_1,2025-10-30 03:01:48,"jek jek aplikasi kau di bajak tuh di fitur chat dengan nomor tidak dikenal, melakukan penagihan secara tidak sopan dan bar bar,sedangkan saya tidak mempunyai tunggakan di aplikasi gojek itu sangat menganggu.",negative,app
review_106_1,2025-10-30 02:48:44,"mangkin parah , saya order udah 1 jam, malah d batalkan goofod nya parah goojek, lama 2 d tinggal custemer nya , ini bukan yg pertama ya",positive,service
review_107_1,2025-10-30 02:25:40,ajib,positive,none
review_108_1,2025-10-30 01:52:46,makin sering pake aplikasi ini kok tarifnya semakin mahal y?,negative,service
review_108_2,2025-10-30 01:52:46,ikut paket langgananpun promo nya sm dg yg ga ikut paket langganan dan minim lg kdg gps nya jg troubel jg ga bs pantau posisi driver,negative,app
review_109_1,2025-10-30 01:44:10,bermanfaat,positive,none
review_110_1,2025-10-30 01:42:01,"akun saya dibekukan tanpa alasan yang jelas, ke pengaduan malah di suruh baca panduan, tidak menyelesaikan masalah!!!",negative,service
review_111_1,2025-10-30 01:23:16,Mantap,positive,none
review_112_1,2025-10-30 01:12:55,sangatemnantu,positive,none
review_113_1,2025-10-30 00:44:30,supir seenaknya jidat cancel cok,negative,service
review_114_1,2025-10-30 00:24:48,amanah dan tanggung jawab,positive,none
review_115_1,2025-10-30 00:09:43,Sangat membantu,positive,none
review_116_1,2025-10-29 23:51:15,mantap,positive,none
review_117_1,2025-10-29 23:46:57,lama drivernya.,negative,none
review_117_2,2025-10-29 23:46:57,bikin telat.,negative,none
review_118_1,2025-10-29 23:33:05,aman dan nyaman,positive,none
review_119_1,2025-10-29 23:17:16,"Alhamdulillah sangat terbantu ada fasilitas GOJEK/GOCAR semoga para driver menjaga penampilan, spd/mobilnya dan BB agar penumpang juga nyaman, senang duduk di belakang nya",positive,service
review_120_1,2025-10-29 22:57:54,ok baik' dan tempat waktu,positive,none
review_121_1,2025-10-29 22:49:10,aplikasi pelayanan terbaik terimakasih gojek,positive,app
review_122_1,2025-10-29 22:48:29,"Bagus app nya pelayanan nya juga bagus kok,, ntah saya mau komen apa lagi..Lagi bingung tapi merasa bagus aja nih gojek",positive,app
review_123_1,2025-10-29 22:31:53,Rekomendasi sekali,positive,none
review_124_1,2025-10-29 21:54:28,mantap 👍,positive,none
review_125_1,2025-10-29 21:05:48,"Aplikasi Cerdas, Teman dikala butuh transportasi instan pengiriman barang beli makanan , beli obat²tan 24 jam Recommended",positive,app
review_126_1,2025-10-29 20:27:57,makasih,positive,none
review_127_1,2025-10-29 18:28:56,mantappppp yakin deh pakai gojek aja aplikasi andalan bagi seluruh penumpang/pengguna .,positive,app dan service
review_128_1,2025-10-29 18:25:41,keren,positive,none
review_129_1,2025-10-29 18:18:48,sopir sangat ramah.,positive,service
review_129_2,2025-10-29 18:18:48,dan cara mengemudikanya sangat nyaman bgt,positive,service
review_130_1,2025-10-29 17:39:57,sangat membantu,positive,none
review_131_1,2025-10-29 16:45:41,oke oke sy nyaman,positive,service
review_132_1,2025-10-29 16:22:05,map buruk dalam penentuan arah,positive,app
review_133_1,2025-10-29 15:47:49,"maaf saya sudah tutup poin 11 orderan argo hemat, aplikasi sudah saya matikan, saya jalan pulang sampai rmh ada 3 order masuk ga tau kok bisa ,performa turun,saya ga jadi dapat bonus , kenapa ya,apa ada hacker atau dr gojek ada masalah lain",negative,app
review_135_1,2025-10-29 14:43:50,mantap,positive,none
review_136_1,2025-10-29 14:07:16,mntapp,positive,none
review_137_1,2025-10-29 13:47:34,fitur gofood tidak ramah ke customer,negative,app
review_138_1,2025-10-29 13:43:08,Tolong bagi para pengguna jasa gojek.Bukalah hati anda.Bayangkan bila anda menggunakan jasa ojek konvensional dari ongkos dan pelayanannya juga beda.Hargailah para driver gojek dgn memberikan ulasan positif dan bintang yg realistis.Kesalahan bukan selalu dari pihak driver saja.Apabila anda menunggu terlalu lama Itu karena server yg kurang memadai. Sekali lagi kami sbg driver mohon maaf apabila ada rekan kami yg kurang memberikan pelayanan memuaskan,negative,app dan service
review_139_1,2025-10-29 13:16:17,cs tdk memberikan jawaban akan tetapi dialihkan ke mesin penjawab..,negative,app
review_139_3,2025-10-29 13:16:17,harusnya kalau customer bertanya mohon diberikan penjelasan ..,negative,service
review_139_4,2025-10-29 13:16:17,seperti case yg saya alami saldo gopay saya terpotong otomatis untuk Tip .sedangkan saya belum melakukan penilaian dan belum memberikan tip.akantetapi saldo saya terpotong bahkan nilainya hampir sama dengan aplikasi gocar yang saya gunakan..tertulis katanya promo..promo apaan..itu penipuan.,negative,app dan service
review_139_11,2025-10-29 13:16:17,saya tidak tahu yg motong saldo gopay saya dari drivernya atau dari aplikasi,negative,app
review_140_1,2025-10-29 13:04:10,nice,positive,none
review_141_1,2025-10-29 13:01:05,tlg d atikan yaplikasiny golek y,negative,app
review_142_1,2025-10-29 12:45:47,"ada beberapa opsi dimana sangat menjengkelkan, bukanya di bisa di cancel malah di perluas dan di perpanjang untuk mencari driver sekitar 1 jam",negative,service
review_143_1,2025-10-29 12:44:09,aplikasi ini sangat mantap,positive,app
review_144_1,2025-10-29 12:41:38,kepeda seluruh driver gojek saya hanya sebatas mengingatkan sebelum Mulai jalan usahakan nyimpen uang khas receh biar bisa ngasih kembalian ..kembalian genap 20.000 aja gak ada minta d ikhlasin 😬,positive,service
review_145_1,2025-10-29 12:29:01,gojek memang oke,positive,service
review_146_1,2025-10-29 12:10:00,subhanallah alhamdulillah laa ilaha illallah allahu akbar laa haula walaa quwwata illa billah,neutral,none
review_147_1,2025-10-29 12:06:34,sangat mudah digunakan 👍,positive,service
review_148_1,2025-10-29 12:05:42,selalu nyaman pakai gojek,positive,service
review_149_1,2025-10-29 12:04:45,Bagus bangett 🫰🏻😻,positive,none
review_150_1,2025-10-29 12:01:32,potongan buat driver nya apa ga kurang besar?,positive,service
review_150_2,2025-10-29 12:01:32,"kasian driver nya , mau harga mahal pun tetep ke driver nya mah kecil..",negative,service
review_150_3,2025-10-29 12:01:32,sungguh ga adil 😑,positive,none
review_151_1,2025-10-29 12:01:02,terlalu ribet,negative,none
review_152_1,2025-10-29 11:57:29,god good,positive,none
review_153_1,2025-10-29 11:56:12,kalo lagi ujan susah banget dapet drivernyaaa,negative,service
review_154_1,2025-10-29 11:50:05,"sy edit ulasannya, jd bintang 0 kalo ada, knp?",negative,app
review_154_3,2025-10-29 11:50:05,"sy bayar tokopedia gopay paylater 2bulan, rekening saldo kepotong notifikasi ke kirim masuk,tp cicilan gak berkurang, malah 3 hari status jd hangus,kmn coba itu uang kekirim, sangat kecewa, jd kapok pake tokopedia sama gojeg cicilan, hey teman jgn beli pake paylater nya tokped gojeg gopay, pt mabnya bermasalah, banyak penipunya",negative,app
review_155_1,2025-10-29 11:44:42,"hujan dikit susah cari driver, gofood sampe 1,5jam gak ada driver,gosend juga sama.",negative,service
review_155_2,2025-10-29 11:44:42,bukan mempermudah malah mempersulit,negative,service
review_156_1,2025-10-29 11:43:29,Ok,positive,none
review_157_1,2025-10-29 11:39:43,"sulit batal order makan, gosend susah hubungi wa makin buruk",negative,app
review_158_1,2025-10-29 11:20:19,driver lama setiap order mknya lama serba lama,negative,service
review_159_1,2025-10-29 11:18:16,mantap,positive,none
review_160_1,2025-10-29 11:17:48,"SAYA SUDAH MENUNGGU LAMA BUAT PESAN GOJEK DOANG BUAT HARI INI,",negative,app
review_160_2,2025-10-29 11:17:48,"PADAHAL HUJAN UDAH BERHENTI, UDAH NUNGGU SEJAM CUMA BUAT PESAN GOJEK, KAGAK DPT2, UDAH GITU DIMAHALIN LAGI, KALAU MAHAL",negative,app
review_160_3,2025-10-29 11:17:48,"TAPI DPT GOJEK CEPET MAH GAK PAPA, INI UDAH LAMA, DIMAHALIN LAGI.",negative,service
review_160_4,2025-10-29 11:17:48,MAU NGAJAK RIBUT APA GIMANA APLIKASI KOCAK,negative,app
review_161_1,2025-10-29 11:16:36,kurang simple dan intuitif agar lebih mudah,positive,app
review_162_1,2025-10-29 11:14:17,Mantab & Oke banget,positive,none
review_163_1,2025-10-29 11:13:58,bagus,positive,none
review_164_1,2025-10-29 11:10:33,good,positive,none
review_165_1,2025-10-29 11:03:50,good membantu,positive,none
review_166_1,2025-10-29 11:03:05,mantap,positive,none
review_167_1,2025-10-29 10:53:32,"Gojek selalu Mantap, dan tetap selalu di hati",positive,service
review_168_1,2025-10-29 10:39:12,mempermudah perjalanan,positive,service
review_169_1,2025-10-29 10:33:57,gila banget kl hujan naik harganya sampe 130%,negative,service
review_170_1,2025-10-29 10:28:58,mantap,positive,none
review_171_1,2025-10-29 09:58:49,keren,positive,none
review_172_1,2025-10-29 09:55:42,"Lapor karna pesanan di selesaikan driver ,tapi penumpang gak dijemput,,malah gak bisa diproses dong balasannya mana bayar pake gopay lagi,,2x dapat driver Gocar kya bgni modelan nya..bobrok banget ni aplikasi nya padahal harus konsumen lebih di prioritaskan..",negative,app dan service
review_172_6,2025-10-29 09:55:42,"kecewa banget,, sorry ya Aplikasi lo w Uninstall",negative,app
review_173_1,2025-10-29 09:53:14,bagussss,positive,none
review_174_1,2025-10-29 09:47:41,pengemudi ramah nyaman nyopirnya,positive,none
review_174_2,2025-10-29 09:47:41,biar bintang yg berbicara,negative,service
review_175_1,2025-10-29 09:42:51,"map nya gak jelas banget, gak update pergerakan driver.",negative,app
review_175_2,2025-10-29 09:42:51,sering error padahal jaringan bagus.,negative,app
review_175_4,2025-10-29 09:42:51,tolong diperbaiki lagi,negative,app
review_176_1,2025-10-29 09:36:00,selamat sampai tujuan,positive,service
review_177_1,2025-10-29 09:34:37,"UDAH TAU BATALIN BOOKING KARENA JAUH, MALAH DI CARI ON YANG JAUH PUNYA OTAK?",negative,service
review_178_1,2025-10-29 09:34:20,penyediaan driver sering terlalu jauh dari lokasi jemput,negative,service
review_179_1,2025-10-29 09:32:15,"perjalanan jauh ready???ga salah??? aku mbayar loh dari Madura ke Surabaya aja ga ada yang mau, gapapa ta kalo slogan e kayak gitu??? hah? harus diubah ga sih???",negative,service
review_180_1,2025-10-29 09:06:43,aplikasi tau susah banget cari driver,negative,app
review_181_1,2025-10-29 08:58:43,saya senang dengan adanya gojek mau pergi kemana saja jadi mudah,positive,service
review_182_1,2025-10-29 08:51:59,ni gojek udh di setting alamat nya sudah sering pesan tiba tiba berubah sendiri. tolong lah kalo gk ada yang minta pindah alamat jgn di pindahin sendiri,negative,app
review_183_1,2025-10-29 08:51:47,sangat membantu,positive,none
review_184_1,2025-10-29 08:46:05,"mau hapus akun aja susah banget , di persulit",negative,app
review_185_1,2025-10-29 08:45:47,2x order gocar comfort pada ga gerak kenapa dah ?,negative,app
review_186_1,2025-10-29 08:30:34,dh eee wa t RFT e ee Dee,neutral,none
review_187_1,2025-10-29 08:28:57,sangat membantu dlm perjalanan,positive,service
review_188_1,2025-10-29 08:22:48,yaa gitu anjayyy pokok e sekian heheheh,positive,none
review_189_1,2025-10-29 08:12:43,jauh banget,negative,none
review_190_1,2025-10-29 08:12:40,sistem gojek bisa dijebol sama orderan palsu atau fiktif gofood gak sampe makan ak ada dicek no gojekny fiktif,negative,app
review_191_1,2025-10-29 07:55:48,banyak membantu,negative,none
review_192_1,2025-10-29 07:50:27,good,positive,none
review_193_1,2025-10-29 07:47:29,"aplikasi kocak,,, pesen gosend dari shoppe instant kek same day..psen jm 11 sampe jam 3 blm di cariin driver..bangke emng,,, kapok lah pke gojek.",negative,app dan service
review_194_1,2025-10-29 07:44:44,"Pelayanan baik, cepat.",positive,service
review_194_2,2025-10-29 07:44:44,Terimakasih GO-JEK🙏,positive,service
review_195_1,2025-10-29 07:43:44,bagus2 sangat membantu....,positive,none
review_196_1,2025-10-29 07:27:54,selalu terbantu dengan aplikasi gojek,positive,app
review_197_1,2025-10-29 07:23:55,ini memudahkan saya untuk belanja,positive,service
review_198_1,2025-10-29 07:16:51,"orderan fiktif merugikan, dateng kerumah padahal saya g pesan, gaada reimburst dan tindakan",negative,service
review_199_1,2025-10-29 07:03:24,"naik gocar plg dari mall dapet driver nya rewel sepanjang jalan ngomong terus, wkwk keliatan nya si driver kaya ga suka gitu sama penumpang nya.karna di suruh masuk ke parkiran dan ga jauh juga parkiran nya. padahal kita bayar loh, bgtu pun uang parkir kita bayar kalau emg gamau kn dia bisa cancel ga perlu ambil. kocak",negative,service
review_200_1,2025-10-29 06:57:23,Sangat sangat bagus,positive,none
review_201_1,2025-10-29 06:55:09,sangat membantu☝️👏👏👌🤟,positive,none
review_202_1,2025-10-29 06:21:35,mantap dengan adanya apk ini memudahkan saya yg suka mageran buat jajan dari rumah saja,positive,app
review_203_1,2025-10-29 06:07:25,"Resto ngirim pesenan kurang, di complain ke gojek karena ga ada no resto di nota. tapi dari pihak gojek ga bisa ngasih penyelesaian dan slow respon",negative,service
review_204_1,2025-10-29 06:01:01,driver tepat waktu dan sopan,positive,service
review_205_1,2025-10-29 05:53:45,dengan gojek bisa memudahkan kita utk kemana saja dan banyak promonya,positive,service
